mmsi,name,latitude,longitude,time_utc,ship_type,length_m
671082100,BIMINI CAT,25.79784,-80.24778,2026-01-09 14:22:12 GMT,60.0,36.0
512001059,SOUNDZ IMAGE,-41.28894,174.01001,2026-01-09 14:24:13 GMT,33.0,16.0
245730000,RIGEL,51.91651,4.24756,2026-01-09 14:23:53 GMT,99.0,48.0
319236400,ALLURE,43.58718,7.12376,2026-01-09 14:23:30 GMT,0.0,0.0
566690000,EAGLE SAN PEDRO,38.07254,-30.61565,2026-01-09 14:23:59 GMT,80.0,274.0
368190870,IMPULSIVE DECISION,25.70419,-80.25263,2026-01-09 14:22:34 GMT,37.0,0.0
538004060,FEDERAL KUSHIRO,58.13708,7.97608,2026-01-09 14:22:53 GMT,70.0,190.0
244100795,WOESTELING II,52.63739,5.06559,2026-01-09 14:21:18 GMT,36.0,11.0
244250604,LUDWIG VAN BEETHOVEN,52.37694,4.89947,2026-01-09 14:24:24 GMT,69.0,19.0
447004739,MERRY FISHER,29.34272,48.06396,2026-01-09 14:22:21 GMT,37.0,8.0
247524410,BLEU 2 TOI,44.41112,8.92406,2026-01-09 14:24:20 GMT,37.0,15.0
245202000,WL35 BRAKZAND,53.43621,5.77527,2026-01-09 14:25:07 GMT,30.0,0.0
413697550,TONG HAI YOU 6,24.46641,118.03855,2026-01-09 14:24:54 GMT,80.0,42.0
230664000,POHJANMERI,60.34616,22.06365,2026-01-09 14:25:09 GMT,99.0,78.0
257692000,ARTEMIS ODYSSEY,62.46271,6.15877,2026-01-09 14:24:23 GMT,9.0,74.0
247590000,BILLTON,40.83451,14.26541,2026-01-09 14:21:47 GMT,79.0,57.0
311000396,HARMONY OF THE SEAS,20.48247,-86.97593,2026-01-09 14:22:46 GMT,60.0,362.0
477997224,HKFSD FIREBOAT2,22.35897,113.95225,2026-01-09 14:25:02 GMT,90.0,32.0
231374000,WESTWARD HO,62.00757,-6.77493,2026-01-09 14:25:12 GMT,37.0,23.0
