snapshot_ts_utc,MMSI,NAME,CALLSIGN,IMO,TYPE,NAVSTAT,LATITUDE,LONGITUDE,SOG,COG,HEADING,ROT,A,B,C,D,DRAUGHT,DEST,ETA,TIME
2026-01-09T14:29:11.925815+00:00,671082100,BIMINI CAT,5VGA2,8982515,60,5,25.79784,-80.24778,0,360,511,128,10,26,3,6,2,MIA,01-08 22:00,2026-01-09 14:22:12 GMT
2026-01-09T14:29:11.925815+00:00,512001059,SOUNDZ IMAGE,ZMA3239,0,33,15,-41.28894,174.01001,0,360,511,128,5,11,2,3,0,,00-00 00:00,2026-01-09 14:24:13 GMT
2026-01-09T14:29:11.925815+00:00,245730000,RIGEL,PC8261,0,99,5,51.91651,4.24756,0,342.4,511,128,21,27,3,5,3.8,MAASSLUIS,07-27 19:00,2026-01-09 14:23:53 GMT
2026-01-09T14:29:11.925815+00:00,319236400,ALLURE,ZGQO3,9961582,0,5,43.58718,7.12376,0,222.2,222,0,0,0,4,4,0,ANTIBES,00-00 00:00,2026-01-09 14:23:30 GMT
2026-01-09T14:29:11.925815+00:00,566690000,EAGLE SAN PEDRO,9V9334,9594858,80,0,38.07254,-30.61565,12.3,96.1,95,-10,232,42,27,22,15.5,ESCAR,01-14 14:00,2026-01-09 14:23:59 GMT
2026-01-09T14:29:11.925815+00:00,368190870,IMPULSIVE DECISION,WDM2726,0,37,15,25.70419,-80.25263,0,360,511,128,0,0,0,0,0,,00-00 00:00,2026-01-09 14:22:34 GMT
2026-01-09T14:29:11.925815+00:00,538004060,FEDERAL KUSHIRO,V7UY9,9284702,70,5,58.13708,7.97608,0,24,269,0,165,25,15,9,10,CA QUE > NO KRS,01-09 03:00,2026-01-09 14:22:53 GMT
2026-01-09T14:29:11.925815+00:00,244100795,WOESTELING II,PH2590,0,36,15,52.63739,5.06559,0,0,0,128,7,4,3,1,0,,00-00 00:00,2026-01-09 14:21:18 GMT
2026-01-09T14:29:11.925815+00:00,244250604,LUDWIG VAN BEETHOVEN,PF7739,0,69,5,52.37694,4.89947,0,360,511,128,2,17,2,3,1.5,AMSTERDAM,12-31 00:00,2026-01-09 14:24:24 GMT
2026-01-09T14:29:11.925815+00:00,447004739,MERRY FISHER,9KVN7,0,37,15,29.34272,48.06396,0,360,511,128,7,1,1,1,0,,00-00 00:00,2026-01-09 14:22:21 GMT
2026-01-09T14:29:11.925815+00:00,247524410,BLEU 2 TOI,IJ3382,0,37,15,44.41112,8.92406,0.1,346.8,511,128,8,7,5,0,0,,00-00 00:00,2026-01-09 14:24:20 GMT
2026-01-09T14:29:11.925815+00:00,245202000,WL35 BRAKZAND,PD9086,0,30,9,53.43621,5.77527,0,199,136,0,0,0,0,0,1.4,AMELAND,00-00 24:60,2026-01-09 14:25:07 GMT
