timestamp_utc,timestamp_local,MMSI,LATITUDE,LONGITUDE,SOG,COG,HEADING,ROT,TYPE,A,B,C,D,DRAUGHT,DEST,ETA,NAME,CALLSIGN,NAVSTAT,PAC,IMO,HLD_ZONE
2025-12-10T09:25:05.429183+00:00,2025-12-10T10:25:05.429183+01:00,244620823,53.31407,6.93364,3.4,46.4,511,128,79,89,11,9,3,1.5,DELFZIJL,12-10 10:00,CAESAR,PI 3034,0,1,0,DELFZIJL
2025-12-10T09:25:05.434777+00:00,2025-12-10T10:25:05.434777+01:00,244750183,52.83394,5.68135,6.2,83.3,511,128,79,50,5,4,4,0.3,LEMMER,12-07 09:48,SPARTITAXUS, PD6481,0,1,0,LEMMER
2025-12-10T09:25:05.491355+00:00,2025-12-10T10:25:05.491355+01:00,244456168,52.86398,5.68327,6.5,13.8,511,128,37,12,0,0,4,0,,00-00 00:00,MY VOYAGER,PF8863,15,1,0,LEMMER
2025-12-10T09:25:06.283931+00:00,2025-12-10T10:25:06.283931+01:00,244710977,52.86025,5.69667,3.8,107,511,128,33,16,4,1,4,0,,00-00 24:60,PW 304,PD2435,0,1,0,LEMMER
2025-12-10T09:25:06.806715+00:00,2025-12-10T10:25:06.806715+01:00,244022503,52.86335,5.68332,6.1,19.8,511,128,90,104,6,10,2,0,SLUISKOLK OOSTERSLUI,12-10 08:15,SENDO LINER,PG4700,0,1,0,LEMMER
2025-12-10T09:25:06.949289+00:00,2025-12-10T10:25:06.949289+01:00,244740841,53.23075,6.58802,6.1,322.4,511,128,79,74,12,3,7,3,,00-00 24:60,EVELINE,PD2626,0,1,0,GRONINGEN
2025-12-10T09:25:07.001475+00:00,2025-12-10T10:25:07.001475+01:00,269057070,52.9718,5.69059,6.8,179.5,511,128,79,96,0,1,11,3,DELFZIJL,12-08 22:46,BOSTAD,HE7070,0,1,0,LANGWEER
2025-12-10T09:25:08.031506+00:00,2025-12-10T10:25:08.031506+01:00,244058988,53.31231,6.9288,6.6,69.1,511,128,79,44,11,1,5,2.7,REITDIEP,07-03 16:21,ELIZABETH,PH3?34,5,1,0,DELFZIJL
2025-12-10T09:25:08.178003+00:00,2025-12-10T10:25:08.178003+01:00,244630224,53.32036,6.94035,2,33,33,0,79,0,86,0,8,2.5,OLDENBURG,12-11 20:00,TYRO,PI6255,0,1,0,DELFZIJL
2025-12-10T09:25:08.270090+00:00,2025-12-10T10:25:08.270090+01:00,244008902,53.26086,6.44471,7.1,83.6,511,128,89,55,12,3,6,1.1,VIERVERLATEN,12-10 10:54,FLOTTANT,PB7086,0,0,0,ADUARD
2025-12-10T09:25:08.450007+00:00,2025-12-10T10:25:08.450007+01:00,244660742,52.84754,5.67453,1.3,21.6,511,128,79,86,0,11,0,2,,10-14 16:00,MIRAGE,PE6597,0,1,0,LEMMER
2025-12-10T09:25:08.513079+00:00,2025-12-10T10:25:08.513079+01:00,244170522,53.32461,6.94447,1.3,235,76,127,33,11,11,3,4,2.4,DELFZIJL DREDGING,12-10 19:00,PETER,PDKU,0,1,9842762,DELFZIJL
2025-12-10T09:27:11.269555+00:00,2025-12-10T10:27:11.269555+01:00,244620823,53.31407,6.93364,3.4,46.4,511,128,79,89,11,9,3,1.5,DELFZIJL,12-10 10:00,CAESAR,PI 3034,0,1,0,DELFZIJL
