MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368106292,2020-06-14T00:00:00,29.99898,-93.76980,0.0,355.1,273.0,,,,,12,,,,,A
368018190,2020-06-14T00:00:00,30.70731,-88.04331,0.0,273.0,300.0,,,,,0,,,,,A
316037865,2020-06-14T00:00:00,42.02587,-82.60252,0.0,4.9,192.0,,,,,0,,,,,A
367342330,2020-06-14T00:00:00,29.38085,-89.59468,0.0,315.6,511.0,,,,,15,,,,,A
368084040,2020-06-14T00:00:00,37.05746,-88.39577,0.0,360.0,511.0,,,,,15,,,,,A
319179100,2020-06-14T00:00:02,39.71324,-73.41409,11.5,46.4,48.0,,,,,0,,,,,A
368142150,2020-06-14T00:00:02,29.66601,-91.09834,0.0,360.0,511.0,,,,,15,,,,,A
367765000,2020-06-14T00:00:03,48.75402,-122.50593,0.1,228.0,511.0,,,,,0,,,,,A
232019873,2020-06-14T00:00:04,40.61610,-74.05501,0.1,222.9,345.0,,,,,1,,,,,A
367414130,2020-06-14T00:00:05,43.85037,-69.62719,0.0,360.0,511.0,BENNIE ALICE,,WDE9151,60,15,19,5,,,A
368093120,2020-06-14T00:00:06,30.18562,-92.59904,0.0,293.5,279.0,,,,,11,,,,,A
367387160,2020-06-14T00:00:06,38.17976,-85.90061,0.0,0.0,511.0,,,,,15,,,,,A
367474640,2020-06-14T00:00:07,42.34173,-71.03358,0.2,259.5,511.0,,,,,0,,,,,A
338999000,2020-06-14T00:00:07,32.66216,-117.11952,0.0,115.3,511.0,,,,,0,,,,,A
367659690,2020-06-14T00:00:08,41.58119,-70.89627,1.0,166.0,511.0,,,,,15,,,,,A
367063460,2020-06-14T00:00:08,43.55801,-91.23447,0.0,360.0,511.0,,,,,5,,,,,A
368066840,2020-06-14T00:00:08,44.23468,-91.89347,5.3,6.4,511.0,,,,,15,,,,,A
338143481,2020-06-14T00:00:09,35.84004,-75.61886,0.1,83.1,511.0,SHARON G    II,IMO0000000,WDG3194,30,,18,6,,,B
338316826,2020-06-14T00:00:10,40.82905,-73.70771,0.3,360.0,511.0,MEMORIES MADE,IMO0000000,,37,,15,4,,,B
368067220,2020-06-14T00:00:11,55.35535,-131.69930,0.0,360.0,511.0,,,,,5,,,,,A
368090850,2020-06-14T00:00:10,29.72009,-95.24818,0.0,274.5,511.0,,,,,12,,,,,A
338332024,2020-06-14T00:00:11,33.72345,-118.28056,0.3,232.0,511.0,,,,,0,,,,,A
368017750,2020-06-14T00:00:11,41.54314,-88.08197,6.6,198.4,511.0,,,,,12,,,,,A
319155500,2020-06-14T00:00:12,24.55615,-81.81548,0.3,206.1,354.0,,,,,1,,,,,A
368136510,2020-06-14T00:00:12,32.78569,-79.91046,0.0,360.0,511.0,BRAVO,IMO0000000,WDL4955,37,,30,6,,,B
3669999,2020-06-14T00:00:13,33.72338,-118.28067,0.1,233.6,511.0,,,,,0,,,,,A
366843020,2020-06-14T00:00:13,39.22078,-76.44101,0.1,122.6,511.0,,,,,15,,,,,A
368102010,2020-06-14T00:00:15,41.09366,-72.36035,6.9,194.6,511.0,,,,,15,,,,,A
368056830,2020-06-14T00:00:17,33.61823,-117.92767,0.0,223.2,511.0,SEA PATRON,IMO0000000,WDK4600,37,,0,0,,,B
368043470,2020-06-14T00:00:17,27.88121,-97.27247,0.0,3.6,207.0,,,,,5,,,,,A
367680580,2020-06-14T00:00:17,47.64448,-122.31332,0.8,210.3,138.0,DOUG-OUT,IMO0000000,WDI2676,37,,13,4,,,B
368131890,2020-06-14T00:00:17,29.91081,-89.91720,0.0,356.6,316.0,,,,,0,,,,,A
368111560,2020-06-14T00:00:18,40.79340,-73.78167,0.3,360.0,511.0,,,,,0,,,,,A
367561320,2020-06-14T00:00:00,29.70586,-91.21820,0.0,301.3,511.0,MR ROLAND,,WDG6848,31,0,19,7,,,A
367778540,2020-06-14T00:00:01,29.51677,-94.89121,0.1,360.0,154.0,SOLANA,,WDJ4528,37,,,,,,B
338997000,2020-06-14T00:00:08,39.01944,-75.15061,1.1,182.9,53.0,MCFARLAND,IMO7739856,AEGB,90,3,97,22,7.0,33,A
