 fetch_ts_utc,timestamp_utc,timestamp_local,MMSI,NAME,CALLSIGN,IMO,TYPE,LATITUDE,LONGITUDE,SOG,COG,HEADING,ROT,NAVSTAT,A,B,C,D,DRAUGHT,DEST,ETA
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.334466+00:00,2025-12-29T15:46:17.334466+01:00,245730000,RIGEL,PC8261,0,99,51.91651,4.24755,0,335.5,511,128,5,21,27,3,5,3.8,MAASSLUIS,07-27 19:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.335420+00:00,2025-12-29T15:46:17.335420+01:00,244100795,WOESTELING II,PH2590,0,36,52.63743,5.06565,0,0,0,128,15,7,4,3,1,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.354442+00:00,2025-12-29T15:46:17.354442+01:00,244250604,LUDWIG VAN BEETHOVEN,PF7739,0,69,52.37626,4.89764,0,360,511,128,0,2,17,2,3,1.5,AMSTERDAM,12-31 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.354759+00:00,2025-12-29T15:46:17.354759+01:00,245202000,WL35 BRAKZAND,PD9086,0,30,53.43619,5.77527,0,352,134,0,9,0,0,0,0,1.4,AMELAND,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.355004+00:00,2025-12-29T15:46:17.355004+01:00,253242295,JUPITER,LX2295,0,80,51.22548,6.768,11,13.2,8,0,0,96,14,8,4,2.2,BRAKELZUID,12-31 13:29
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.355252+00:00,2025-12-29T15:46:17.355252+01:00,211707550,SPIRA,DB5371,0,33,51.45524,6.75991,0,360,40,0,5,26,2,5,3,1.3,DUISBURG,09-14 16:12
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.355497+00:00,2025-12-29T15:46:17.355497+01:00,244000582,UK65 LEENDERT SENIOR,PF5947,0,30,52.65944,5.59809,0,360,183,0,5,3,9,1,2,1.2,VISGRONDEN,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.355716+00:00,2025-12-29T15:46:17.355716+01:00,244660646,STOLT NECKAR,PG9662,0,90,51.8186,4.82027,7.7,87.9,511,128,0,75,11,8,4,0,BIRSFELDEN,11-26 19:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.355959+00:00,2025-12-29T15:46:17.355959+01:00,205522670,PEPERMENNEKE,OQ5226,0,37,51.23381,4.41528,0,0,511,128,15,5,3,2,1,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.356172+00:00,2025-12-29T15:46:17.356172+01:00,269057496,VIKING LOFN,HE7496,0,69,50.97322,6.98733,0,0.7,87,0,5,10,125,1,11,1.7,KOLN,12-02 18:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.356383+00:00,2025-12-29T15:46:17.356383+01:00,205246870,LISA,OQ2468,0,37,51.22874,4.4091,0.1,360,511,128,15,9,5,3,1,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.356591+00:00,2025-12-29T15:46:17.356591+01:00,244187908,JAAP,PD2853,0,99,52.58048,5.75694,0,360,511,128,0,0,13,2,2,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.356800+00:00,2025-12-29T15:46:17.356800+01:00,244870759,HELSINKI,PB9003,0,0,52.38569,4.8777,0,360,511,128,0,2,12,2,2,1.2,,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.357028+00:00,2025-12-29T15:46:17.357028+01:00,244000341,JONGEDAME,PH9633,0,37,51.81255,4.72358,0,360,511,128,15,11,3,2,2,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.357283+00:00,2025-12-29T15:46:17.357283+01:00,244945022,THOMAS VAN WALLS,PE2608,0,99,52.21541,5.30684,0,360,511,128,5,5,8,1,4,0,ZAANDAM,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.357511+00:00,2025-12-29T15:46:17.357511+01:00,244058386,WADDENZEE,PG2185,0,60,52.52262,5.43508,0,341.2,511,128,15,15,15,2,4,1,,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.357722+00:00,2025-12-29T15:46:17.357722+01:00,244770607,GEO II,PE3984,0,89,52.09773,4.2677,0,0,511,128,15,22,8,2,3,0,,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.357928+00:00,2025-12-29T15:46:17.357928+01:00,636021348,STELLAR TRADER,A8ZN6,9628817,70,51.25799,4.237,0,192.6,209,0,5,148,32,9,21,9.8,BE ANR,12-26 22:45
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.358146+00:00,2025-12-29T15:46:17.358146+01:00,244060118,IJVEER 62,PA2812,0,69,52.38075,4.89965,0,360,511,128,0,20,14,5,4,0,AMSTERDAM,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.358461+00:00,2025-12-29T15:46:17.358461+01:00,244615398,NICHOLAS,PH5902,0,37,51.76752,5.3502,0,360,511,128,15,11,4,2,3,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.358712+00:00,2025-12-29T15:46:17.358712+01:00,244384981,EUFORIE,PD4729,0,79,51.09273,3.7535,0,360,511,128,5,122,13,8,4,1.5,SPIJK,12-31 07:09
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.358926+00:00,2025-12-29T15:46:17.358926+01:00,244125138,SOMBRA,PI2237,0,79,51.93159,4.04678,0,360,511,128,5,11,6,6,2,0,,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.359136+00:00,2025-12-29T15:46:17.359136+01:00,244010301,DE VRIENDSCHAP,PD8084,0,69,51.82136,4.0493,0,360,511,128,5,25,1,3,3,1.4,HELLEVOETSLUIS,01-01 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.359341+00:00,2025-12-29T15:46:17.359341+01:00,244013663,VROUWE CORNELIA,PF7732,0,37,53.32381,6.92084,0,360,511,128,5,13,12,4,3,2.9,GRDNINGEN,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.359539+00:00,2025-12-29T15:46:17.359539+01:00,244770829,INTERLUDE,PG7457,0,52,51.90809,4.34463,0,0,511,128,5,5,17,4,1,0.3,VLAARDINGEN,04-22 10:10
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.359742+00:00,2025-12-29T15:46:17.359742+01:00,244710215,ADRIANA,PD3869,0,79,51.93659,4.63497,0,0,511,128,8,51,9,2,5,0.3,ZEEWOLDE,06-01 11:30
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.359937+00:00,2025-12-29T15:46:17.359937+01:00,244770199,NAUTILUS,PD5328,0,37,52.4688,4.81904,0,360,511,128,5,7,17,3,2,1.2,ZAANDAM,07-11 18:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.360184+00:00,2025-12-29T15:46:17.360184+01:00,355782000,MARVIN CONFIDENCE,3EIM2,9820295,80,51.88934,4.44616,0,86.8,286,0,5,147,36,24,8,8.1,ROTTERDAM,12-15 12:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.360406+00:00,2025-12-29T15:46:17.360406+01:00,244589000,GEBROEDERS LUDEN,PE2027,0,37,53.40859,6.20032,0,316,511,128,0,14,6,1,4,1.4,LAUWERSOOG,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.360618+00:00,2025-12-29T15:46:17.360618+01:00,244574000,PR.WILLEM ALEXANDER,PBAA,9275945,0,51.44414,3.59823,0.3,240.5,263,127,0,12,25,8,8,0,9,03-22 11:08
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.360836+00:00,2025-12-29T15:46:17.360836+01:00,244730355,ONRUST,PG4764,0,69,52.01156,6.13129,0,360,511,128,5,21,10,3,2,1.3,DOESBURG,12-05 15:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.361042+00:00,2025-12-29T15:46:17.361042+01:00,235068328,INDUS,2BPZ8,8884830,52,51.4428,3.59605,0.1,115,291,0,0,9,16,5,2,3.3,VLISSINGEN,12-29 12:10
