snapshot_ts_utc,MMSI,NAME,CALLSIGN,IMO,TYPE,NAVSTAT,LATITUDE,LONGITUDE,SOG,COG,HEADING,ROT,A,B,C,D,DRAUGHT,DEST,ETA,TIME
2026-01-09T14:29:11.925815+00:00,245730000,RIGEL,PC8261,0.0,99.0,5,51.91651,4.24756,0.0,342.4,511,128,21.0,27.0,3.0,5.0,3.8,MAASSLUIS,07-27 19:00,2026-01-09 14:23:53 GMT
2026-01-09T14:29:11.925815+00:00,244100795,WOESTELING II,PH2590,0.0,36.0,15,52.63739,5.06559,0.0,0.0,0,128,7.0,4.0,3.0,1.0,0.0,,00-00 00:00,2026-01-09 14:21:18 GMT
2026-01-09T14:29:11.925815+00:00,244250604,LUDWIG VAN BEETHOVEN,PF7739,0.0,69.0,5,52.37694,4.89947,0.0,360.0,511,128,2.0,17.0,2.0,3.0,1.5,AMSTERDAM,12-31 00:00,2026-01-09 14:24:24 GMT
2026-01-09T14:29:11.925815+00:00,245202000,WL35 BRAKZAND,PD9086,0.0,30.0,9,53.43621,5.77527,0.0,199.0,136,0,0.0,0.0,0.0,0.0,1.4,AMELAND,00-00 24:60,2026-01-09 14:25:07 GMT
2026-01-09T14:29:11.925815+00:00,211707550,SPIRA,DB5371,0.0,33.0,5,51.45389,6.75923,0.0,360.0,222,0,26.0,2.0,5.0,3.0,1.3,DUISBURG,09-14 16:12,2026-01-09 14:23:49 GMT
2026-01-09T14:29:11.925815+00:00,244000582,UK65 LEENDERT SENIOR,PF5947,0.0,30.0,5,52.66038,5.59822,0.0,0.0,92,0,3.0,9.0,1.0,2.0,1.2,VISGRONDEN,00-00 24:60,2026-01-09 14:24:01 GMT
2026-01-09T14:29:11.925815+00:00,269057496,VIKING LOFN,HE7496,0.0,69.0,5,50.94773,6.96567,0.0,99.4,204,0,10.0,125.0,1.0,11.0,1.7,KOLN,12-02 18:00,2026-01-09 14:22:32 GMT
2026-01-09T14:29:11.925815+00:00,244870034,MARIEKE,PG3779,0.0,36.0,15,51.67488,3.75588,0.0,251.5,511,128,14.0,0.0,0.0,4.0,0.0,,00-00 00:00,2026-01-09 14:14:37 GMT
2026-01-09T14:29:11.925815+00:00,244700443,ESPERANZA,PH2161,0.0,79.0,0,51.20192,3.80151,7.3,179.2,511,128,95.0,15.0,7.0,5.0,1.0,ROTTERDAM,08-02 13:00,2026-01-09 14:13:53 GMT
2026-01-09T14:29:11.925815+00:00,244870759,HELSINKI,PB9003,0.0,0.0,0,52.38562,4.87766,0.0,360.0,511,128,2.0,12.0,2.0,2.0,1.2,,00-00 24:60,2026-01-09 14:24:42 GMT
2026-01-09T14:29:11.925815+00:00,244058386,WADDENZEE,PG2185,0.0,60.0,15,52.52263,5.43505,0.0,220.7,511,128,15.0,15.0,2.0,4.0,1.0,,00-00 24:60,2026-01-09 14:25:15 GMT
2026-01-09T14:29:11.925815+00:00,636022113,ZIM VIETNAM,5LHG2,9244922.0,71.0,5,51.2908,4.25643,0.1,333.0,32,0,212.0,92.0,15.0,25.0,10.6,BEANR,01-06 15:00,2026-01-09 14:24:57 GMT
2026-01-09T14:29:11.925815+00:00,244730862,DEO CONFIDENTES,PC8467,0.0,79.0,5,51.27969,4.38413,0.0,360.0,511,128,125.0,10.0,7.0,5.0,0.0,,00-00 24:60,2026-01-09 14:24:40 GMT
2026-01-09T14:29:11.925815+00:00,244740409,EUCHARISTEO,PD3364,0.0,79.0,0,51.91243,4.75828,7.3,59.7,511,128,68.0,12.0,3.0,6.0,0.0,HENGELO,07-25 09:00,2026-01-09 14:22:05 GMT
2026-01-09T14:29:11.925815+00:00,244090029,CORENSANT,PE5540,0.0,37.0,15,53.19868,5.83299,0.1,187.8,511,128,15.0,0.0,0.0,5.0,0.0,,00-00 00:00,2026-01-09 14:06:25 GMT
2026-01-09T14:29:11.925815+00:00,205635400,FURI,OS6354,0.0,37.0,15,51.23319,4.41496,0.0,360.0,511,128,4.0,6.0,2.0,1.0,0.0,,00-00 00:00,2026-01-09 14:23:06 GMT
2026-01-09T14:29:11.925815+00:00,636021348,STELLAR TRADER,A8ZN6,9628817.0,70.0,0,51.92032,4.23444,8.8,317.1,320,0,148.0,32.0,9.0,21.0,7.0,GB HTP,01-10 12:00,2026-01-09 14:25:11 GMT
2026-01-09T14:29:11.925815+00:00,538011707,IONIC SEMELI,V7A3335,1037933.0,80.0,5,51.94098,4.16107,0.0,269.3,358,0,230.0,44.0,30.0,18.0,13.4,NL RTM,01-09 11:00,2026-01-09 14:16:47 GMT
2026-01-09T14:29:11.925815+00:00,244615398,NICHOLAS,PH5902,0.0,37.0,15,51.7675,5.35024,0.0,360.0,511,128,11.0,4.0,2.0,3.0,0.0,,00-00 00:00,2026-01-09 14:25:06 GMT
2026-01-09T14:29:11.925815+00:00,244125138,SOMBRA,PI2237,0.0,79.0,0,51.8997,4.46051,9.1,258.2,511,128,11.0,6.0,6.0,2.0,0.0,,00-00 24:60,2026-01-09 14:25:12 GMT
2026-01-09T14:29:11.925815+00:00,244010301,DE VRIENDSCHAP,PD8084,0.0,69.0,5,51.82137,4.04928,0.0,360.0,511,128,25.0,1.0,3.0,3.0,1.4,HELLEVOETSLUIS,01-01 00:00,2026-01-09 14:17:58 GMT
2026-01-09T14:29:11.925815+00:00,244013663,VROUWE CORNELIA,PF7732,0.0,37.0,5,53.32382,6.92083,0.0,360.0,511,128,13.0,12.0,4.0,3.0,2.9,GRDNINGEN,00-00 24:60,2026-01-09 14:17:59 GMT
