snapshot_ts_utc,MMSI,NAME,CALLSIGN,IMO,TYPE,NAVSTAT,LATITUDE,LONGITUDE,SOG,COG,HEADING,ROT,A,B,C,D,DRAUGHT,DEST,ETA,TIME
2026-01-12T19:18:50.969647+00:00,245730000,RIGEL,PC8261,0,99,5,51.91648,4.24755,0,26.4,511,128,21,27,3,5,3.8,MAASSLUIS,07-27 19:00,2026-01-12 19:14:51 GMT
2026-01-12T19:18:50.969647+00:00,211517290,NIKLAS,DK5987,0,20,0,51.86214,5.83325,11.2,313.9,511,128,104,6,6,6,1.8,NA,00-00 00:00,2026-01-12 19:15:44 GMT
2026-01-12T19:18:50.969647+00:00,244125138,SOMBRA,PI2237,0,79,5,51.88422,4.45565,0,360,511,128,11,6,6,2,0,,00-00 24:60,2026-01-12 19:10:53 GMT
2026-01-12T19:18:50.969647+00:00,355782000,MARVIN CONFIDENCE,3EIM2,9820295,80,5,51.88931,4.44618,0,86.8,286,3,147,36,24,8,8.1,ROTTERDAM,12-15 12:00,2026-01-12 19:13:28 GMT
2026-01-12T19:18:50.969647+00:00,245907000,VB TEXELBANK,PHXY,9060699,31,0,51.90348,4.35339,0,254.8,162,0,12,16,2,8,5.4,HARBOURTOWAGE,03-09 22:00,2026-01-12 19:15:41 GMT
2026-01-12T19:18:50.969647+00:00,538003693,AMANDA C,V7SO4,9482782,70,5,51.88356,4.44377,102.3,360,247,4,159,21,5,25,6.3,NLRTM > LTKLJ,01-16 16:00,2026-01-12 19:14:31 GMT
2026-01-12T19:18:50.969647+00:00,244780485,T MAKKEN,PI2969,0,99,7,51.89056,5.68941,0,360,511,128,6,7,3,1,0,,00-00 00:00,2026-01-12 19:15:40 GMT
2026-01-12T19:18:50.969647+00:00,246359000,STAR BONAIRE,PHHU,9148453,80,0,51.95502,4.12663,0,185.2,188,0,75,15,6,6,4.8,ROTTERDAM,01-12 15:00,2026-01-12 19:15:47 GMT
2026-01-12T19:18:50.969647+00:00,244039925,JAN,PE2715,0,33,0,51.9497,4.12649,0,360,511,128,30,4,3,5,1.6,WERKENDAM,00-00 00:00,2026-01-12 19:15:42 GMT
2026-01-12T19:18:50.969647+00:00,244700853,CARIA,PI9136,0,89,5,51.82064,4.90447,0.5,104.4,511,128,56,11,4,5,2,SGRAVENDEEL,03-12 17:46,2026-01-12 19:14:44 GMT
2026-01-12T19:18:50.969647+00:00,244670267,ROXANNA,PG8089,0,80,0,51.82208,5.28297,10.9,248.7,249,0,95,15,3,9,2,ANTWERPEN INSTEEKDOK,01-13 08:02,2026-01-12 19:15:41 GMT
