timestamp,mmsi,name,shiptype,latlon,richting,lengte,breedte
2025-12-10 00:02:34,253000037,,,"51.86428, 5.98411",opvaart,,
2025-12-10 00:05:10,211816700,MANFRED DEYMANN 1/2,Onbekend,"51.85420, 6.08757",afvaart,188,23
2025-12-10 00:09:57,244620945,VEERHAVEN VIII,Vrachtschip,"51.89866, 5.59197",afvaart,193,35
2025-12-10 00:14:18,244700270,GOOILAND,Vrachtschip,"51.88871, 6.02475",afvaart,67,9
2025-12-10 00:19:07,253000115,CARPE OMNIA,Tanker,"51.86333, 5.98353",opvaart,110,13
2025-12-10 00:28:06,244670925,GECA,Vrachtschip,"51.97360, 5.97642",opvaart,39,5
2025-12-10 00:43:04,205560890,ARMAGEDDON,Vrachtschip,"51.84133, 6.16790",opvaart,105,11
2025-12-10 00:49:40,244083800,BARLETTA,Tanker,"51.85384, 6.08736",afvaart,110,12
2025-12-10 01:10:38,244660617,DURANCE,Tanker,"51.85041, 6.14238",opvaart,80,9
2025-12-10 01:16:15,211510540,ALMENHOF,Onbekend,"51.89943, 5.63012",afvaart,95,11
2025-12-10 01:20:05,244730091,DIKKY,Sleepboot,"51.85874, 5.82748",opvaart,24,6
2025-12-10 01:26:40,244000706,,,"51.84007, 6.03716",opvaart,,
2025-12-10 02:00:54,211476070,HERKULES XII,Onbekend,"51.82869, 6.21906",afvaart,185,11
2025-12-10 02:08:40,205585890,PROSPERITY,Tanker,"51.82209, 6.24265",opvaart,135,12
2025-12-10 02:16:57,244670831,FAVORIET,Tanker,"51.85347, 6.08772",afvaart,86,11
2025-12-10 02:26:37,244870461,ZEMBLA,Onbekend,"51.88418, 5.74680",afvaart,135,18
2025-12-10 02:27:56,244770063,BREITLING,Onbekend,"51.88105, 5.76089",afvaart,183,12
2025-12-10 02:28:38,244630985,,,"51.86559, 5.98490",opvaart,,
2025-12-10 02:28:59,211440330,THOMAS DEYMANN 1-2,Vrachtschip,"51.82864, 6.20887",opvaart,172,12
2025-12-10 02:38:08,211404140,BALTIMORE,Tanker,"51.89951, 5.61366",afvaart,86,10
2025-12-10 02:48:24,211173020,WOERTH,Onbekend,"51.89926, 5.57826",afvaart,193,12
2025-12-10 02:49:36,244750594,ADRIANA,Vrachtschip,"51.87813, 6.03602",opvaart,85,8
2025-12-10 02:51:58,244620947,VEERHAVEN X,Vrachtschip,"51.86335, 5.98359",opvaart,270,23
2025-12-10 03:17:20,211439370,SCHLOSS CHAMBORD,Tanker,"51.85079, 6.13642",opvaart,110,12
2025-12-10 03:38:21,244620320,GALAXY,Onbekend,"51.89933, 5.60689",afvaart,135,15
2025-12-10 03:43:43,244650988,SENSATION,Vrachtschip,"51.89332, 5.69645",afvaart,135,18
2025-12-10 03:51:12,211493560,GAS 83,Onbekend,"51.81281, 6.28409",opvaart,111,12
2025-12-10 03:53:25,244670599,ADRIANA,Vrachtschip,"51.86045, 5.95483",opvaart,62,7
2025-12-10 03:59:29,205580490,MOANA,Vrachtschip,"51.83857, 6.17593",opvaart,171,12
2025-12-10 04:01:23,244750019,LIBRA,Vrachtschip,"51.84013, 6.16849",afvaart,188,24
2025-12-10 04:11:48,244722317,MESSINA,Tanker,"51.83259, 6.18916",opvaart,135,12
2025-12-10 04:12:37,244127849,RO-VER,Tanker,"51.82922, 6.21397",opvaart,,
2025-12-10 04:12:54,269057755,AMALUCIA,Passagiersschip,"51.85402, 6.08754",afvaart,135,12
2025-12-10 04:17:19,226008660,LITTORAL,Onbekend,"51.85076, 6.13801",opvaart,109,13
2025-12-10 04:28:38,244660961,,,"51.86289, 5.98403",opvaart,,
2025-12-10 04:32:42,244700130,OLESIA,Vrachtschip,"51.82486, 6.23405",afvaart,183,16
2025-12-10 04:32:48,244070618,RWS 43,Onbekend,"51.89296, 5.66093",afvaart,19,6
2025-12-10 04:34:32,244060298,SOMTRANS XVII,Onbekend,"51.89441, 5.52229",afvaart,110,14
2025-12-10 04:43:21,244650723,ORCHILA,Onbekend,"51.86461, 5.98424",opvaart,136,16
2025-12-10 04:45:21,211183680,RHENUS ORSOY,Vrachtschip,"51.84919, 5.81949",afvaart,110,11
2025-12-10 04:53:06,205315290,LAGUZ,Vrachtschip,"51.85879, 6.07491",opvaart,110,11
2025-12-10 04:53:51,244650731,,,"51.86095, 6.07516",,,
2025-12-10 04:54:36,244670236,DYNAMICA,Vrachtschip,"51.88521, 5.72635",afvaart,110,23
2025-12-10 04:55:33,244615365,,,"51.86298, 5.98345",opvaart,,
2025-12-10 04:56:04,244620848,BRAAVOS,Onbekend,"51.86524, 6.06022",opvaart,190,12
2025-12-10 05:08:57,244733553,,,"51.86153, 6.06953",afvaart,,
2025-12-10 05:30:39,244890469,SAMARY,Vrachtschip,"51.89980, 5.61787",opvaart,172,12
2025-12-10 05:32:00,244650996,FIVEL,Vrachtschip,"51.85535, 6.08547",afvaart,65,9
2025-12-10 05:47:44,244740107,MORDICUS,Onbekend,"51.83426, 6.18796",opvaart,70,7
2025-12-10 05:50:29,211618190,JOLIEN,Vrachtschip,"51.85079, 6.13970",afvaart,109,12
2025-12-10 05:54:24,211526370,,,"51.85504, 6.08803",afvaart,,
2025-12-10 05:54:46,211544850,JESSICA,Onbekend,"51.85390, 6.08733",afvaart,105,10
2025-12-10 05:56:18,244660954,VOLTURNO,Vrachtschip,"51.86489, 5.82026",afvaart,111,13
2025-12-10 05:56:55,211732570,MONIKA DEYMANN,Vrachtschip,"51.89690, 5.64237",opvaart,135,14
2025-12-10 05:57:00,244660135,,,"51.85727, 6.08603",opvaart,,
2025-12-10 06:02:09,244710214,PELIKAAN,Vrachtschip,"51.85532, 6.09090",afvaart,81,10
2025-12-10 06:03:06,211500430,JOSEF JAEGERS,Tanker,"51.90023, 5.61543",afvaart,135,12
2025-12-10 06:05:41,244660425,IDEAAL,Onbekend,"52.13917, 6.19151",afvaart,105,10
2025-12-10 06:06:26,205255190,DIAMOND,Onbekend,"51.85589, 6.09124",opvaart,80,9
2025-12-10 06:08:47,211743670,LENA,Vrachtschip,"52.01456, 6.12800",afvaart,85,10
2025-12-10 06:09:08,244010931,IVEN1,Vrachtschip,"51.86055, 6.07183",opvaart,170,11
2025-12-10 06:09:58,244620945,VEERHAVEN VIII,Vrachtschip,"51.84932, 6.09619",opvaart,270,23
2025-12-10 06:13:23,244660697,,,"51.86112, 6.07547",afvaart,,
2025-12-10 06:13:29,211650900,,,"51.85390, 6.08811",afvaart,,
2025-12-10 06:14:10,244740742,GRATO,Vrachtschip,"51.86328, 5.98405",opvaart,80,9
2025-12-10 06:14:19,244700270,GOOILAND,Vrachtschip,"51.88870, 6.02481",opvaart,67,9
2025-12-10 06:15:39,211169320,,,"51.85852, 6.08957",afvaart,,
2025-12-10 06:17:11,244650989,RAPIDA,Onbekend,"51.89880, 5.60130",afvaart,110,12
2025-12-10 06:17:35,244700802,SANSTOARM,Vrachtschip,"51.97322, 5.97521",afvaart,62,7
2025-12-10 06:20:13,211486580,EILTANK 19,Tanker,"51.85376, 6.08711",afvaart,110,14
